year	month	kills
2005	Ene	17
2005	Feb	19
2005	Mar	17
2005	Abr	14
2005	May	25
2005	Jun	25
2005	Jul	20
2005	Ago	14
2005	Sep	21
2005	Oct	20
2005	Nov	16
2005	Dic	25
2006	Ene	18
2006	Feb	31
2006	Mar	23
2006	Abr	18
2006	May	15
2006	Jun	32
2006	Jul	15
2006	Ago	17
2006	Sep	21
2006	Oct	16
2006	Nov	12
2006	Dic	24
2007	Ene	14
2007	Feb	24
2007	Mar	14
2007	Abr	16
2007	May	23
2007	Jun	26
2007	Jul	22
2007	Ago	28
2007	Sep	25
2007	Oct	20
2007	Nov	13
2007	Dic	27
2008	Ene	31
2008	Feb	11
2008	Mar	19
2008	Abr	8
2008	May	10
2008	Jun	21
2008	Jul	18
2008	Ago	20
2008	Sep	13
2008	Oct	16
2008	Nov	14
2008	Dic	14
2009	Ene	10
2009	Feb	16
2009	Mar	16
2009	Abr	16
2009	May	20
2009	Jun	21
2009	Jul	15
2009	Ago	9
2009	Sep	21
2009	Oct	23
2009	Nov	20
2009	Dic	22
2010	Ene	29
2010	Feb	19
2010	Mar	31
2010	Abr	18
2010	May	25
2010	Jun	18
2010	Jul	20
2010	Ago	26
2010	Sep	20
2010	Oct	32
2010	Nov	21
2010	Dic	27
2011	Ene	33
2011	Feb	13
2011	Mar	21
2011	Abr	20
2011	May	33
2011	Jun	29
2011	Jul	17
2011	Ago	32
2011	Sep	37
2011	Oct	28
2011	Nov	29
2011	Dic	25
2012	Ene	25
2012	Feb	16
2012	Mar	21
2012	Abr	23
2012	May	25
2012	Jun	22
2012	Jul	21
2012	Ago	42
2012	Sep	26
2012	Oct	21
2012	Nov	19
2012	Dic	27
2013	Ene	19
2013	Feb	22
2013	Mar	18
2013	Abr	13
2013	May	16
2013	Jun	16
2013	Jul	12
2013	Ago	15
2013	Sep	19
2013	Oct	8
2013	Nov	19
2013	Dic	10
2014	Ene	10
2014	Feb	8
2014	Mar	14
2014	Abr	11
2014	May	13
2014	Jun	13
2014	Jul	11
2014	Ago	12
2014	Sep	13
2014	Oct	10
2014	Nov	13
2014	Dic	19
2015	Ene	17
2015	Feb	22
2015	Mar	20
2015	Abr	9
2015	May	12
2015	Jun	30
2015	Jul	16
2015	Ago	19
2015	Sep	17
2015	Oct	12
2015	Nov	22
2015	Dic	18
2016	Ene	12
2016	Feb	7
2016	Mar	12
2016	Abr	7
2016	May	11
2016	Jun	11
2016	Jul	16
2016	Ago	12
2016	Sep	12
2016	Oct	14
2016	Nov	14
2016	Dic	21
2017	Ene	10
2017	Feb	15
2017	Mar	8
2017	Abr	13
2017	May	14
2017	Jun	10
2017	Jul	11
2017	Ago	11
2017	Sep	14
2017	Oct	20
2017	Nov	8
2017	Dic	20
